"timestamp","rainfall","stormwater"
2024-04-01 10:18:00,7.851,2.469
2024-04-01 10:19:00,6.487,2.913
2024-04-01 10:20:00,6.413,2.776
2024-04-01 10:21:00,6.471,3.219
2024-04-01 10:22:00,5.486,3.509
2024-04-01 10:23:00,6.435,3.817
2024-04-01 10:24:00,5.554,3.87
2024-04-01 10:25:00,6.06,3.694
2024-04-01 10:26:00,4.678,3.638
2024-04-01 10:27:00,5.292,3.923
2024-04-01 10:28:00,4.354,4.003
2024-04-01 10:29:00,4.937,4.333
2024-04-01 10:30:00,4.269,4.29
2024-04-01 10:31:00,2.237,4.139
2024-04-01 10:32:00,4.398,4.567
2024-04-01 10:33:00,3.274,5.062
2024-04-01 10:34:00,4.646,5.227
2024-04-01 10:35:00,4.007,5.227
2024-04-01 10:36:00,4.615,5.168
2024-04-01 10:37:00,3.434,6.147
2024-04-01 10:38:00,4.969,6.338
2024-04-01 10:39:00,2.377,6.3
2024-04-01 10:40:00,2.601,6.121
2024-04-01 10:41:00,2.498,6.099
2024-04-01 10:42:00,3.051,6.947
2024-04-01 10:43:00,3.073,6.665
2024-04-01 10:44:00,3.611,6.76
2024-04-01 10:45:00,1.367,6.988
2024-04-01 10:46:00,3.359,7.717
2024-04-01 10:47:00,1.373,8.138
2024-04-01 10:48:00,1.868,7.976
2024-04-01 10:49:00,2.169,8.045
2024-04-01 10:50:00,3.353,8.924
2024-04-01 10:51:00,0.963,8.987
2024-04-01 10:52:00,1.231,9.028
2024-04-01 10:53:00,1.015,9.01
2024-04-01 10:54:00,1.515,9.477
2024-04-01 10:55:00,0.773,9.805
2024-04-01 10:56:00,2.123,9.757
2024-04-01 10:57:00,1.487,10.384
2024-04-01 10:58:00,0.314,9.864
2024-04-01 10:59:00,0.239,11.192
2024-04-01 11:00:00,1.199,11.067
2024-04-01 11:01:00,0.505,10.579
2024-04-01 11:02:00,0.693,11.728
2024-04-01 11:03:00,1.334,12.373
2024-04-01 11:04:00,0.652,11.914
